split,condition_id,query_text,status,available_positive,available_negative,unknown,positive_target,negative_target,positive_pairs,negative_pairs,hard_negative_pairs,random_negative_pairs
test,CE19,交差点とバイクが見える画像,targets_met,35,846,119,10,10,10,10,5,5
test,CE20,赤信号と車が見える画像,targets_met,193,748,59,10,10,10,10,5,5
test,CE21,青信号と自転車が見える画像,targets_met,37,876,87,10,10,10,10,5,5
test,CE22,黄信号とバンが見える画像,below_target,2,958,40,10,10,2,10,5,5
test,CE23,住宅街に歩行者がいる画像,targets_met,29,873,98,10,10,10,10,5,5
test,CE24,高速道路にバスがいる画像,targets_met,10,965,25,10,10,10,10,5,5
test,CO01,車とバスがいる画像,targets_met,140,741,119,20,10,20,10,5,5
test,CO02,車とトラックがいる画像,targets_met,308,581,111,20,10,20,10,5,5
test,CO03,車とバンがいる画像,targets_met,229,652,119,20,10,20,10,5,5
test,CO04,車と歩行者がいる画像,targets_met,322,572,106,20,10,20,10,5,5
test,CO05,車と自転車がいる画像,targets_met,105,767,128,20,10,20,10,5,5
test,CO06,車とバイクがいる画像,targets_met,57,814,129,20,10,20,10,5,5
test,CO07,バスとトラックがいる画像,targets_met,52,819,129,20,10,20,10,5,5
test,CO08,バスとバンがいる画像,targets_met,42,829,129,20,10,20,10,5,5
test,CO09,バスと歩行者がいる画像,targets_met,70,806,124,20,10,20,10,5,5
test,CO10,バスと自転車がいる画像,targets_met,23,847,130,20,10,20,10,5,5
test,CO11,バスとバイクがいる画像,below_target,8,862,130,20,10,8,10,5,5
test,CO12,トラックとバンがいる画像,targets_met,119,750,131,20,10,20,10,5,5
test,CO13,トラックと歩行者がいる画像,targets_met,120,753,127,20,10,20,10,5,5
test,CO14,トラックと自転車がいる画像,targets_met,37,833,130,20,10,20,10,5,5
test,CO15,トラックとバイクがいる画像,below_target,19,850,131,20,10,19,10,5,5
test,CO16,バンと歩行者がいる画像,targets_met,115,760,125,20,10,20,10,5,5
test,CO17,バンと自転車がいる画像,targets_met,37,833,130,20,10,20,10,5,5
test,CO18,バンとバイクがいる画像,below_target,15,854,131,20,10,15,10,5,5
test,CO19,歩行者と自転車がいる画像,targets_met,94,778,128,20,10,20,10,5,5
test,CO20,歩行者とバイクがいる画像,targets_met,33,837,130,20,10,20,10,5,5
test,CO21,自転車とバイクがいる画像,below_target,14,853,133,20,10,14,10,5,5
test,COL01,白い車がいる画像,targets_met,454,80,466,20,10,20,10,0,10
test,COL02,黒い車がいる画像,targets_met,293,110,597,20,10,20,10,0,10
test,COL03,赤い車がいる画像,targets_met,132,169,699,20,10,20,10,5,5
test,COL04,青い車がいる画像,targets_met,51,187,762,20,10,20,10,5,5
test,COL05,白いバスがいる画像,targets_met,75,748,177,20,10,20,10,5,5
test,COL06,黒いバスがいる画像,below_target,1,819,180,20,10,1,10,5,5
test,COL07,赤いバスがいる画像,below_target,4,816,180,20,10,4,10,5,5
test,COL08,青いバスがいる画像,below_target,11,810,179,20,10,11,10,5,5
test,COL09,白いトラックがいる画像,targets_met,131,619,250,20,10,20,10,5,5
test,COL10,黒いトラックがいる画像,below_target,18,714,268,20,10,18,10,5,5
test,COL11,赤いトラックがいる画像,targets_met,34,701,265,20,10,20,10,5,5
test,COL12,青いトラックがいる画像,below_target,16,718,266,20,10,16,10,5,5
test,COL13,白いバンがいる画像,targets_met,150,676,174,20,10,20,10,5,5
test,COL14,黒いバンがいる画像,targets_met,21,793,186,20,10,20,10,5,5
test,COL15,赤いバンがいる画像,below_target,13,800,187,20,10,13,10,5,5
test,COL16,青いバンがいる画像,below_target,5,807,188,20,10,5,10,5,5
test,COL17,白い自転車がいる画像,no_positive,0,773,227,20,10,0,0,0,0
test,COL18,黒い自転車がいる画像,no_positive,0,773,227,20,10,0,0,0,0
test,COL19,赤い自転車がいる画像,below_target,2,773,225,20,10,2,10,5,5
test,COL20,青い自転車がいる画像,below_target,11,764,225,20,10,11,10,5,5
test,COL21,白いバイクがいる画像,below_target,2,819,179,20,10,2,10,5,5
test,COL22,黒いバイクがいる画像,below_target,6,815,179,20,10,6,10,5,5
test,COL23,赤いバイクがいる画像,below_target,3,818,179,20,10,3,10,5,5
test,COL24,青いバイクがいる画像,below_target,1,820,179,20,10,1,10,5,5
test,D01,逆走している自転車,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,D02,車両の陰から歩行者が飛び出す場面,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,D03,歩行者が急に車道を横断する場面,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,D04,前方の車が急停止する場面,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,D05,自車に車両が急接近する場面,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,D06,車が信号を無視して進む場面,deferred_temporal,0,0,1000,0,0,0,0,0,0
test,ENV01,昼の道路の画像,targets_met,707,288,5,20,10,20,10,0,10
test,ENV02,夜の道路の画像,targets_met,262,732,6,20,10,20,10,0,10
test,ENV03,薄明の道路の画像,targets_met,32,957,11,20,10,20,10,5,5
test,ENV04,晴れた道路の画像,targets_met,367,270,363,20,10,20,10,0,10
test,ENV05,曇りの道路の画像,targets_met,260,407,333,20,10,20,10,3,7
test,ENV06,雨が降っている道路の画像,targets_met,49,914,37,20,10,20,10,5,5
test,ENV07,雪が降っている道路の画像,below_target,9,959,32,20,10,9,10,5,5
test,ENV08,霧のある道路の画像,below_target,9,900,91,20,10,9,10,5,5
test,H01,夜の画面左に自転車がいる画像,below_target,5,889,106,20,10,5,10,5,5
test,H02,薄明の画面右にバイクがいる画像,no_positive,0,996,4,20,10,0,0,0,0
test,H03,霧のある道路の歩道上に歩行者がいる画像,no_positive,0,923,77,20,10,0,0,0,0
test,H04,道路の工事区間と画面右の自転車が見える画像,below_target,2,967,31,20,10,2,10,5,5
test,H05,路面に雪があり画面左に歩行者がいる画像,below_target,11,971,18,20,10,11,10,5,5
test,H06,路面が濡れていて画面中央にバイクがいる画像,below_target,1,941,58,20,10,1,10,5,5
test,H07,赤信号と自車と同じ車線の車が見える画像,targets_met,94,782,124,20,10,20,10,5,5
test,H08,画面右に青い車がいる画像,below_target,14,512,474,20,10,14,10,5,5
test,H09,画面中央に黒いバスがいる画像,no_positive,0,846,154,20,10,0,0,0,0
test,H10,画面左に赤いトラックがいる画像,below_target,9,809,182,20,10,9,10,5,5
test,H11,画面右に青いバンがいる画像,below_target,1,844,155,20,10,1,10,5,5
test,H12,画面中央に白い自転車がいる画像,no_positive,0,827,173,20,10,0,0,0,0
test,H13,画面中央に赤いバイクがいる画像,below_target,2,829,169,20,10,2,10,5,5
test,H14,画面左に後ろ姿が見えるバスがいる画像,below_target,19,861,120,20,10,19,10,5,5
test,H15,赤い車と画面右の自転車がいる画像,below_target,3,834,163,20,10,3,10,5,5
test,H16,白いバスと画面左の歩行者がいる画像,below_target,13,841,146,20,10,13,10,5,5
test,H17,青いトラックと画面右のバイクがいる画像,below_target,1,868,131,20,10,1,10,5,5
test,H18,黒いバンと画面左の自転車がいる画像,no_positive,0,865,135,20,10,0,0,0,0
test,H19,赤い自転車と画面右の歩行者がいる画像,below_target,2,814,184,20,10,2,10,5,5
test,H20,白いバイクと画面中央の車がいる画像,below_target,1,839,160,20,10,1,10,5,5
test,LOC01,自車と同じ車線に車がいる画像,targets_met,498,197,305,20,10,20,10,5,5
test,LOC02,自車の左隣の車線に車がいる画像,targets_met,279,321,400,20,10,20,10,5,5
test,LOC03,自車の右隣の車線に車がいる画像,targets_met,294,330,376,20,10,20,10,5,5
test,LOC04,対向車線に車がいる画像,targets_met,237,341,422,20,10,20,10,5,5
test,LOC05,自車と同じ車線にバスがいる画像,targets_met,57,811,132,20,10,20,10,5,5
test,LOC06,自車の左隣の車線にバスがいる画像,targets_met,24,844,132,20,10,20,10,5,5
test,LOC07,自車の右隣の車線にバスがいる画像,targets_met,35,831,134,20,10,20,10,5,5
test,LOC08,対向車線にバスがいる画像,below_target,17,849,134,20,10,17,10,5,5
test,LOC09,自車と同じ車線にトラックがいる画像,targets_met,89,738,173,20,10,20,10,5,5
test,LOC10,自車の左隣の車線にトラックがいる画像,targets_met,61,758,181,20,10,20,10,5,5
test,LOC11,自車の右隣の車線にトラックがいる画像,targets_met,79,743,178,20,10,20,10,5,5
test,LOC12,対向車線にトラックがいる画像,targets_met,28,787,185,20,10,20,10,5,5
test,LOC13,自車と同じ車線にバンがいる画像,targets_met,76,766,158,20,10,20,10,5,5
test,LOC14,自車の左隣の車線にバンがいる画像,targets_met,37,803,160,20,10,20,10,5,5
test,LOC15,自車の右隣の車線にバンがいる画像,targets_met,49,793,158,20,10,20,10,5,5
test,LOC16,対向車線にバンがいる画像,below_target,17,816,167,20,10,17,10,5,5
test,LOC17,自車と同じ車線に自転車がいる画像,targets_met,35,788,177,20,10,20,10,5,5
test,LOC18,自車の左隣の車線に自転車がいる画像,below_target,5,816,179,20,10,5,10,5,5
test,LOC19,自車の右隣の車線に自転車がいる画像,below_target,15,805,180,20,10,15,10,5,5
test,LOC20,対向車線に自転車がいる画像,below_target,2,818,180,20,10,2,10,5,5
test,LOC21,自車と同じ車線にバイクがいる画像,targets_met,32,825,143,20,10,20,10,5,5
test,LOC22,自車の左隣の車線にバイクがいる画像,below_target,4,851,145,20,10,4,10,5,5
test,LOC23,自車の右隣の車線にバイクがいる画像,below_target,10,844,146,20,10,10,10,5,5
test,LOC24,対向車線にバイクがいる画像,no_positive,0,854,146,20,10,0,0,0,0
test,LOC25,歩道上に歩行者がいる画像,targets_met,233,635,132,20,10,20,10,5,5
test,LOC26,横断歩道上に歩行者がいる画像,targets_met,68,755,177,20,10,20,10,5,5
test,LOC27,車道上に歩行者がいる画像,targets_met,176,675,149,20,10,20,10,5,5
test,OBJ01,車がいる画像,targets_met,951,40,9,20,10,20,10,0,10
test,OBJ02,バスがいる画像,targets_met,147,735,118,20,10,20,10,5,5
test,OBJ03,トラックがいる画像,targets_met,318,572,110,20,10,20,10,2,8
test,OBJ04,バンがいる画像,targets_met,237,646,117,20,10,20,10,5,5
test,OBJ05,歩行者がいる画像,targets_met,338,559,103,20,10,20,10,2,8
test,OBJ06,自転車がいる画像,targets_met,108,764,128,20,10,20,10,5,5
test,OBJ07,バイクがいる画像,targets_met,60,810,130,20,10,20,10,5,5
test,ORI01,こちらに正面を向けた車がいる画像,targets_met,366,410,224,20,10,20,10,5,5
test,ORI02,後ろ姿が見える車がいる画像,targets_met,812,122,66,20,10,20,10,1,9
test,ORI03,こちらに正面を向けたバスがいる画像,targets_met,22,859,119,20,10,20,10,5,5
test,ORI04,後ろ姿が見えるバスがいる画像,targets_met,102,778,120,20,10,20,10,5,5
test,ORI05,こちらに正面を向けたトラックがいる画像,targets_met,52,807,141,20,10,20,10,5,5
test,ORI06,後ろ姿が見えるトラックがいる画像,targets_met,197,680,123,20,10,20,10,5,5
test,ORI07,こちらに正面を向けたバンがいる画像,targets_met,31,828,141,20,10,20,10,5,5
test,ORI08,後ろ姿が見えるバンがいる画像,targets_met,172,704,124,20,10,20,10,5,5
test,ORI09,こちらに正面を向けた自転車がいる画像,below_target,13,847,140,20,10,13,10,5,5
test,ORI10,後ろ姿が見える自転車がいる画像,targets_met,57,806,137,20,10,20,10,5,5
test,ORI11,こちらに正面を向けたバイクがいる画像,below_target,1,863,136,20,10,1,10,5,5
test,ORI12,後ろ姿が見えるバイクがいる画像,targets_met,46,822,132,20,10,20,10,5,5
test,POS01,画面左に車がいる画像,targets_met,615,272,113,20,10,20,10,5,5
test,POS02,画面中央に車がいる画像,targets_met,778,172,50,20,10,20,10,5,5
test,POS03,画面右に車がいる画像,targets_met,412,391,197,20,10,20,10,5,5
test,POS04,画面左にバスがいる画像,targets_met,45,832,123,20,10,20,10,5,5
test,POS05,画面中央にバスがいる画像,targets_met,71,807,122,20,10,20,10,5,5
test,POS06,画面右にバスがいる画像,targets_met,42,835,123,20,10,20,10,5,5
test,POS07,画面左にトラックがいる画像,targets_met,97,767,136,20,10,20,10,5,5
test,POS08,画面中央にトラックがいる画像,targets_met,180,697,123,20,10,20,10,5,5
test,POS09,画面右にトラックがいる画像,targets_met,95,770,135,20,10,20,10,5,5
test,POS10,画面左にバンがいる画像,targets_met,70,791,139,20,10,20,10,5,5
test,POS11,画面中央にバンがいる画像,targets_met,122,744,134,20,10,20,10,5,5
test,POS12,画面右にバンがいる画像,targets_met,65,796,139,20,10,20,10,5,5
test,POS13,画面左に歩行者がいる画像,targets_met,135,710,155,20,10,20,10,5,5
test,POS14,画面中央に歩行者がいる画像,targets_met,163,687,150,20,10,20,10,5,5
test,POS15,画面右に歩行者がいる画像,targets_met,171,683,146,20,10,20,10,5,5
test,POS16,画面左に自転車がいる画像,targets_met,30,835,135,20,10,20,10,5,5
test,POS17,画面中央に自転車がいる画像,targets_met,45,820,135,20,10,20,10,5,5
test,POS18,画面右に自転車がいる画像,targets_met,40,824,136,20,10,20,10,5,5
test,POS19,画面左にバイクがいる画像,below_target,10,857,133,20,10,10,10,5,5
test,POS20,画面中央にバイクがいる画像,targets_met,40,827,133,20,10,20,10,5,5
test,POS21,画面右にバイクがいる画像,below_target,10,854,136,20,10,10,10,5,5
test,R01,緊急車両がいる画像,targets_met,15,875,110,10,10,10,10,5,5
test,R02,列車が見える画像,below_target,4,869,127,10,10,4,10,5,5
test,R03,動物がいる画像,below_target,4,863,133,10,10,4,10,5,5
test,ROAD01,市街地の道路の画像,targets_met,668,269,63,20,10,20,10,0,10
test,ROAD02,住宅街の道路の画像,targets_met,103,750,147,20,10,20,10,0,10
test,ROAD03,高速道路の画像,targets_met,118,857,25,20,10,20,10,3,7
test,ROAD04,田舎道の画像,targets_met,23,945,32,20,10,20,10,5,5
test,ROAD05,トンネル内の画像,targets_met,24,970,6,20,10,20,10,5,5
test,ROAD06,橋の上の道路の画像,targets_met,136,672,192,20,10,20,10,2,8
test,ROAD07,交差点が見える画像,targets_met,392,488,120,20,10,20,10,5,5
test,ROAD08,横断歩道が見える画像,targets_met,234,733,33,20,10,20,10,3,7
test,ROAD09,道路の工事区間が見える画像,targets_met,57,912,31,20,10,20,10,5,5
test,ROAD10,赤信号が見える画像,targets_met,206,735,59,20,10,20,10,5,5
test,ROAD11,青信号が見える画像,targets_met,290,653,57,20,10,20,10,5,5
test,ROAD12,黄信号が見える画像,below_target,15,924,61,20,10,15,10,5,5
test,ROAD13,路面が濡れている画像,targets_met,154,805,41,20,10,20,10,0,10
test,ROAD14,路面に雪がある画像,targets_met,88,903,9,20,10,20,10,0,10
test,ROAD15,道路がカーブしている画像,targets_met,79,741,180,20,10,20,10,5,5
test,ROAD16,坂道の画像,below_target,5,680,315,20,10,5,10,5,5
test,X01,トラックより画面上で左に歩行者がいる画像,targets_met,72,788,140,10,10,10,10,5,5
test,X02,車がちょうど2台見える画像,targets_met,135,790,75,10,10,10,10,5,5
test,X03,歩行者が写っていない画像,targets_met,559,338,103,10,10,10,10,5,5
test,X04,バスまたはトラックがいる画像,targets_met,413,488,99,10,10,10,10,4,6
train,CA01,画面左に赤い車がいる画像,targets_met,152,1292,2056,20,20,20,20,10,10
train,CA02,画面右に白い車がいる画像,targets_met,496,1513,1491,20,20,20,20,10,10
train,CA03,画面左に白いバスがいる画像,targets_met,80,2851,569,20,20,20,20,10,10
train,CA04,画面右に赤いバスがいる画像,below_target,5,2952,543,20,20,5,20,10,10
train,CA05,画面中央に青いトラックがいる画像,below_target,13,2713,774,20,20,13,20,10,10
train,CA06,画面右に白いトラックがいる画像,targets_met,125,2728,647,20,20,20,20,10,10
train,CA07,画面左に黒いバンがいる画像,targets_met,27,2806,667,20,20,20,20,10,10
train,CA08,画面中央に白いバンがいる画像,targets_met,329,2518,653,20,20,20,20,10,10
train,CA09,画面右に赤い自転車がいる画像,below_target,3,2839,658,20,20,3,20,10,10
train,CA10,画面左に青い自転車がいる画像,below_target,11,2873,616,20,20,11,20,10,10
train,CA11,画面右に黒いバイクがいる画像,below_target,6,2928,566,20,20,6,20,10,10
train,CA12,画面左に白いバイクがいる画像,below_target,1,2924,575,20,20,1,20,10,10
train,CA13,自車と同じ車線に、こちらに正面を向けた自転車がいる画像,below_target,2,2917,581,20,20,2,20,10,10
train,CA14,自車と同じ車線に後ろ姿が見える車がいる画像,targets_met,1841,750,909,20,20,20,20,10,10
train,CA15,画面右の歩道上に歩行者がいる画像,targets_met,430,2458,612,20,20,20,20,10,10
train,CA16,画面左の横断歩道上に歩行者がいる画像,targets_met,69,2714,717,20,20,20,20,10,10
train,CB01,赤い車と白いバスがいる画像,targets_met,34,2638,828,20,20,20,20,10,10
train,CB02,白い車と赤いバスがいる画像,below_target,10,2789,701,20,20,10,20,10,10
train,CB03,黒い車と白いトラックがいる画像,targets_met,244,2199,1057,20,20,20,20,10,10
train,CB04,白い車と黒いトラックがいる画像,targets_met,38,2527,935,20,20,20,20,10,10
train,CB05,青いバンと赤い車がいる画像,below_target,5,2735,760,20,20,5,20,10,10
train,CB06,赤いバンと青い車がいる画像,below_target,2,2733,765,20,20,2,20,10,10
train,CB07,白いバスと青いトラックがいる画像,below_target,5,2915,580,20,20,5,20,10,10
train,CB08,青いバスと白いトラックがいる画像,below_target,7,2916,577,20,20,7,20,10,10
train,CB09,赤い自転車と黒いバイクがいる画像,no_positive,0,2939,561,20,20,0,0,0,0
train,CB10,黒い自転車と赤いバイクがいる画像,no_positive,0,2939,561,20,20,0,0,0,0
train,CB11,青い自転車と白い車がいる画像,below_target,14,2703,783,20,20,14,20,10,10
train,CB12,白い自転車と青い車がいる画像,no_positive,0,2763,737,20,20,0,0,0,0
train,CB13,画面左の歩行者と画面右の自転車がいる画像,targets_met,33,2918,549,20,20,20,20,10,10
train,CB14,画面右の歩行者と画面左の自転車がいる画像,targets_met,31,2917,552,20,20,20,20,10,10
train,CB15,画面左のバスと画面右のバイクがいる画像,below_target,2,2988,510,20,20,2,20,10,10
train,CB16,画面右のバスと画面左のバイクがいる画像,below_target,1,2993,506,20,20,1,20,10,10
train,CB17,画面中央の車と画面右のトラックがいる画像,targets_met,239,2744,517,20,20,20,20,10,10
train,CB18,画面右の車と画面中央のトラックがいる画像,targets_met,211,2761,528,20,20,20,20,10,10
train,CB19,画面左のバンと画面中央の歩行者がいる画像,targets_met,65,2892,543,20,20,20,20,10,10
train,CB20,画面中央のバンと画面左の歩行者がいる画像,targets_met,79,2872,549,20,20,20,20,10,10
train,CB21,画面左の車と画面右のバスがいる画像,targets_met,73,2961,466,20,20,20,20,10,10
train,CB22,画面右の車と画面左のバスがいる画像,targets_met,65,2995,440,20,20,20,20,10,10
train,CB23,画面中央の自転車と画面左のバイクがいる画像,below_target,4,2956,540,20,20,4,20,10,10
train,CB24,画面左の自転車と画面中央のバイクがいる画像,below_target,5,2957,538,20,20,5,20,10,10
train,CE01,夜の横断歩道上に歩行者がいる画像,targets_met,50,2996,454,20,20,20,20,10,10
train,CE02,昼の横断歩道上に歩行者がいる画像,targets_met,143,3132,225,20,20,20,20,10,10
train,CE03,薄明の歩道上に歩行者がいる画像,targets_met,24,3459,17,20,20,20,20,10,10
train,CE04,夜に自転車がいる画像,targets_met,55,3011,434,20,20,20,20,10,10
train,CE05,夜にバイクがいる画像,targets_met,35,3028,437,20,20,20,20,10,10
train,CE06,霧の中に歩行者がいる画像,below_target,1,3220,279,20,20,1,20,10,10
train,CE07,霧の中に車がいる画像,below_target,16,3184,300,20,20,16,20,10,10
train,CE08,道路の工事区間と自転車が見える画像,targets_met,32,3335,133,20,20,20,20,10,10
train,CE09,道路の工事区間と歩行者が見える画像,targets_met,91,3283,126,20,20,20,20,10,10
train,CE10,路面に雪があり車がいる画像,targets_met,262,3217,21,20,20,20,20,8,12
train,CE11,路面に雪があり歩行者がいる画像,targets_met,85,3371,44,20,20,20,20,10,10
train,CE12,路面が濡れていて自転車がいる画像,targets_met,28,3235,237,20,20,20,20,10,10
train,CE13,路面が濡れていてバイクがいる画像,below_target,10,3252,238,20,20,10,20,10,10
train,CE14,雨が降る道路にバスがいる画像,below_target,19,3346,135,20,20,19,20,10,10
train,CE15,雨が降る道路の歩道上に歩行者がいる画像,targets_met,25,3336,139,20,20,20,20,10,10
train,CE16,雪が降る道路にトラックがいる画像,below_target,2,3429,69,20,20,2,20,10,10
train,CE17,トンネル内に車がいる画像,targets_met,49,3438,13,20,20,20,20,10,10
train,CE18,橋の上にトラックがいる画像,targets_met,170,2889,441,20,20,20,20,10,10
train,CE19,交差点とバイクが見える画像,targets_met,87,2962,451,20,20,20,20,10,10
train,CE20,赤信号と車が見える画像,targets_met,645,2652,203,20,20,20,20,10,10
train,CE21,青信号と自転車が見える画像,targets_met,136,3037,327,20,20,20,20,10,10
train,CE22,黄信号とバンが見える画像,below_target,13,3329,158,20,20,13,20,10,10
train,CE23,住宅街に歩行者がいる画像,targets_met,102,3028,370,20,20,20,20,10,10
train,CE24,高速道路にバスがいる画像,targets_met,48,3348,104,20,20,20,20,10,10
train,CO01,車とバスがいる画像,targets_met,511,2499,490,50,20,50,20,10,10
train,CO02,車とトラックがいる画像,targets_met,1015,2025,460,50,20,50,20,10,10
train,CO03,車とバンがいる画像,targets_met,889,2131,480,50,20,50,20,10,10
train,CO04,車と歩行者がいる画像,targets_met,1000,2043,457,50,20,50,20,10,10
train,CO05,車と自転車がいる画像,targets_met,305,2669,526,50,20,50,20,10,10
train,CO06,車とバイクがいる画像,targets_met,163,2808,529,50,20,50,20,10,10
train,CO07,バスとトラックがいる画像,targets_met,162,2811,527,50,20,50,20,10,10
train,CO08,バスとバンがいる画像,targets_met,148,2822,530,50,20,50,20,10,10
train,CO09,バスと歩行者がいる画像,targets_met,230,2740,530,50,20,50,20,10,10
train,CO10,バスと自転車がいる画像,targets_met,80,2883,537,50,20,50,20,10,10
train,CO11,バスとバイクがいる画像,below_target,21,2940,539,50,20,21,20,10,10
train,CO12,トラックとバンがいる画像,targets_met,379,2596,525,50,20,50,20,10,10
train,CO13,トラックと歩行者がいる画像,targets_met,345,2640,515,50,20,50,20,10,10
train,CO14,トラックと自転車がいる画像,targets_met,101,2869,530,50,20,50,20,10,10
train,CO15,トラックとバイクがいる画像,below_target,42,2925,533,50,20,42,20,10,10
train,CO16,バンと歩行者がいる画像,targets_met,350,2631,519,50,20,50,20,10,10
train,CO17,バンと自転車がいる画像,targets_met,91,2870,539,50,20,50,20,10,10
