condition_id,category,use,query,train_positive_target,val_positive_target,test_positive_target,train_negative_target,val_negative_target,test_negative_target
CA16,composite,train_val_test,画面左の横断歩道上に歩行者がいる画像,20,5,10,20,5,10
CB01,composite,train_val_test,赤い車と白いバスがいる画像,20,5,10,20,5,10
CB02,composite,train_val_test,白い車と赤いバスがいる画像,20,5,10,20,5,10
CB03,composite,train_val_test,黒い車と白いトラックがいる画像,20,5,10,20,5,10
CB04,composite,train_val_test,白い車と黒いトラックがいる画像,20,5,10,20,5,10
CB05,composite,train_val_test,青いバンと赤い車がいる画像,20,5,10,20,5,10
CB06,composite,train_val_test,赤いバンと青い車がいる画像,20,5,10,20,5,10
CB07,composite,train_val_test,白いバスと青いトラックがいる画像,20,5,10,20,5,10
CB08,composite,train_val_test,青いバスと白いトラックがいる画像,20,5,10,20,5,10
CB09,composite,train_val_test,赤い自転車と黒いバイクがいる画像,20,5,10,20,5,10
CB10,composite,train_val_test,黒い自転車と赤いバイクがいる画像,20,5,10,20,5,10
CB11,composite,train_val_test,青い自転車と白い車がいる画像,20,5,10,20,5,10
CB12,composite,train_val_test,白い自転車と青い車がいる画像,20,5,10,20,5,10
CB13,composite,train_val_test,画面左の歩行者と画面右の自転車がいる画像,20,5,10,20,5,10
CB14,composite,train_val_test,画面右の歩行者と画面左の自転車がいる画像,20,5,10,20,5,10
CB15,composite,train_val_test,画面左のバスと画面右のバイクがいる画像,20,5,10,20,5,10
CB16,composite,train_val_test,画面右のバスと画面左のバイクがいる画像,20,5,10,20,5,10
CB17,composite,train_val_test,画面中央の車と画面右のトラックがいる画像,20,5,10,20,5,10
CB18,composite,train_val_test,画面右の車と画面中央のトラックがいる画像,20,5,10,20,5,10
CB19,composite,train_val_test,画面左のバンと画面中央の歩行者がいる画像,20,5,10,20,5,10
CB20,composite,train_val_test,画面中央のバンと画面左の歩行者がいる画像,20,5,10,20,5,10
CB21,composite,train_val_test,画面左の車と画面右のバスがいる画像,20,5,10,20,5,10
CB22,composite,train_val_test,画面右の車と画面左のバスがいる画像,20,5,10,20,5,10
CB23,composite,train_val_test,画面中央の自転車と画面左のバイクがいる画像,20,5,10,20,5,10
CB24,composite,train_val_test,画面左の自転車と画面中央のバイクがいる画像,20,5,10,20,5,10
H01,heldout,test_only,夜の画面左に自転車がいる画像,0,0,20,0,0,10
H02,heldout,test_only,薄明の画面右にバイクがいる画像,0,0,20,0,0,10
H03,heldout,test_only,霧のある道路の歩道上に歩行者がいる画像,0,0,20,0,0,10
H04,heldout,test_only,道路の工事区間と画面右の自転車が見える画像,0,0,20,0,0,10
H05,heldout,test_only,路面に雪があり画面左に歩行者がいる画像,0,0,20,0,0,10
H06,heldout,test_only,路面が濡れていて画面中央にバイクがいる画像,0,0,20,0,0,10
H07,heldout,test_only,赤信号と自車と同じ車線の車が見える画像,0,0,20,0,0,10
H08,heldout,test_only,画面右に青い車がいる画像,0,0,20,0,0,10
H09,heldout,test_only,画面中央に黒いバスがいる画像,0,0,20,0,0,10
H10,heldout,test_only,画面左に赤いトラックがいる画像,0,0,20,0,0,10
H11,heldout,test_only,画面右に青いバンがいる画像,0,0,20,0,0,10
H12,heldout,test_only,画面中央に白い自転車がいる画像,0,0,20,0,0,10
H13,heldout,test_only,画面中央に赤いバイクがいる画像,0,0,20,0,0,10
H14,heldout,test_only,画面左に後ろ姿が見えるバスがいる画像,0,0,20,0,0,10
H15,heldout,test_only,赤い車と画面右の自転車がいる画像,0,0,20,0,0,10
H16,heldout,test_only,白いバスと画面左の歩行者がいる画像,0,0,20,0,0,10
H17,heldout,test_only,青いトラックと画面右のバイクがいる画像,0,0,20,0,0,10
H18,heldout,test_only,黒いバンと画面左の自転車がいる画像,0,0,20,0,0,10
H19,heldout,test_only,赤い自転車と画面右の歩行者がいる画像,0,0,20,0,0,10
H20,heldout,test_only,白いバイクと画面中央の車がいる画像,0,0,20,0,0,10
R01,rare,train_val_test,緊急車両がいる画像,20,5,10,20,5,10
R02,rare,train_val_test,列車が見える画像,20,5,10,20,5,10
R03,rare,train_val_test,動物がいる画像,20,5,10,20,5,10
X01,extended,needs_annotation_support,トラックより画面上で左に歩行者がいる画像,20,5,10,20,5,10
X02,extended,needs_annotation_support,車がちょうど2台見える画像,20,5,10,20,5,10
X03,extended,needs_annotation_support,歩行者が写っていない画像,20,5,10,20,5,10
X04,extended,needs_annotation_support,バスまたはトラックがいる画像,20,5,10,20,5,10
D01,temporal,pending_evidence,逆走している自転車,0,0,0,0,0,0
D02,temporal,pending_evidence,車両の陰から歩行者が飛び出す場面,0,0,0,0,0,0
D03,temporal,pending_evidence,歩行者が急に車道を横断する場面,0,0,0,0,0,0
D04,temporal,pending_evidence,前方の車が急停止する場面,0,0,0,0,0,0
D05,temporal,pending_evidence,自車に車両が急接近する場面,0,0,0,0,0,0
D06,temporal,pending_evidence,車が信号を無視して進む場面,0,0,0,0,0,0
